Address	R/W	Value	Soft	Hard	Hit	Evicted Page#	Dirty Evicted Page
E63D	1	114	1	0	0	-1	-1
A863	0	42	1	0	0	-1	-1
6FB1	1	211	1	0	0	-1	-1
7E22	0	174	1	0	0	-1	-1
7607	0	61	1	0	0	-1	-1
F4E3	1	114	0	1	0	3	1
AB67	0	119	1	0	0	-1	-1
D55B	1	76	1	0	0	-1	-1
4E9C	0	135	0	1	0	3	0
1DFF	0	241	1	0	0	-1	-1
3597	0	11	1	0	0	-1	-1
64BD	0	256	0	1	0	4	0
3957	0	58	1	0	0	-1	-1
B3F7	0	135	1	0	0	-1	-1
1517	0	90	1	0	0	-1	-1
411C	0	244	1	0	0	-1	-1
D1D4	0	65	1	0	0	-1	-1
E925	0	244	0	1	0	4	0
0B56	0	253	1	0	0	-1	-1
3747	1	95	1	0	0	-1	-1
C865	0	113	1	0	0	-1	-1
B8B3	1	19	1	0	0	-1	-1
AA3A	0	161	1	0	0	-1	-1
307F	0	90	1	0	0	-1	-1
E739	0	170	0	1	0	4	0
E9F8	1	180	0	0	1	-1	-1
78E4	0	212	1	0	0	-1	-1
B1D8	0	53	1	0	0	-1	-1
6D35	0	27	1	0	0	-1	-1
F960	0	172	1	0	0	-1	-1
3C52	0	163	1	0	0	-1	-1
A9D2	0	232	1	0	0	-1	-1
3226	0	26	1	0	0	-1	-1
2A07	0	128	1	0	0	-1	-1
16F1	1	92	1	0	0	-1	-1
504F	0	69	1	0	0	-1	-1
1C1A	1	35	1	0	0	-1	-1
FF9B	0	170	0	1	0	4	0
7E4A	0	34	1	0	0	-1	-1
BC62	0	169	1	0	0	-1	-1
92C8	0	18	1	0	0	-1	-1
EE5F	0	103	1	0	0	-1	-1
10C9	0	242	1	0	0	-1	-1
F9A9	0	170	1	0	0	-1	-1
EB31	0	130	0	1	0	4	0
B58E	0	247	0	1	0	5	0
8AD9	0	138	1	0	0	-1	-1
E9F7	0	205	1	0	0	-1	-1
016A	0	185	1	0	0	-1	-1
FD9C	0	9	1	0	0	-1	-1
F766	0	75	1	0	0	-1	-1
B3AA	0	106	1	0	0	-1	-1
E8EB	1	184	1	0	0	-1	-1
6150	0	194	1	0	0	-1	-1
80E1	0	98	1	0	0	-1	-1
56C8	1	54	0	1	0	5	1
F36C	1	30	1	0	0	-1	-1
0BD6	0	162	1	0	0	-1	-1
076A	1	120	1	0	0	-1	-1
B78A	0	214	1	0	0	-1	-1
5C5A	0	170	1	0	0	-1	-1
54FE	1	189	1	0	0	-1	-1
5C91	0	156	0	0	1	-1	-1
D850	0	147	1	0	0	-1	-1
00FF	0	204	1	0	0	-1	-1
6231	0	191	1	0	0	-1	-1
F5D0	0	225	0	1	0	5	0
3AFF	0	36	0	1	0	6	0
5DD3	0	66	1	0	0	-1	-1
A730	0	171	1	0	0	-1	-1
C797	0	195	0	1	0	6	0
AAFF	0	153	1	0	0	-1	-1
3BB4	0	248	1	0	0	-1	-1
EC87	1	161	1	0	0	-1	-1
528D	1	55	1	0	0	-1	-1
C134	1	120	1	0	0	-1	-1
490F	1	116	0	1	0	6	1
87C5	0	204	0	1	0	7	0
6302	0	216	0	1	0	7	0
6848	1	204	1	0	0	-1	-1
